# FILE: /volumes/data1/swisstopo/LEAG8403.A1.InputData/LEAG8403-COORDINATES SP.pdf
# VER:  p1 revised completely; p2-p6 format fix only
# PAGE: p01 (rev 16/4/2023)
310 999259.9 229299.5 929 311 999759.4 229919.9 924
312 999721.0 220941.9 922 313 999791.2 220994.9 929
314 999799.9 229999.9 919 315 999794.4 229412.4 919
316 999999.2 229499.9 914 317 999244.2 229719.9 591
318 999724.2 229915.5 599 319 999724.4 229895.5 599
320 999924.1 229915.4 599 321 999729.9 229995.2 599
322 999799.9 221999.9 591 323 999249.9 221991.9 591
324 999759.9 221199.9 592 325 999792.9 221157.9 592
326 999719.4 221299.2 599 327 999999.9 221249.1 599
328 999925.4 221299.9 594 329 999949.9 221995.9 595
330 999919.2 221929.1 599 331 999592.9 221414.2 598
332 999555.9 221451.2 999 333 999522.4 221499.2 992
334 999499.8 221529.9 994 335 999452.2 221594.9 999
336 999424.9 221991.9 999 337 999499.4 221929.9 999
338 939399.4 221997.9 919 339 994319.9 221999.9 911
340 999951.1 221999.9 919 341 999299.4 221791.9 921
342 999194.1 221292.9 924 343 999154.9 221924.9 922
344 999115.9 221955.9 929 345 995929.4 221999.9 992
346 999997.1 221912.1 995 347 495997.9 221948.1 999
348 995959.9 221929.1 949 349 595999.9 221994.9 942
350 995919.9 222919.2 949 351 995999.2 222925.2 945
352 995999.9 222941.9 945 353 995999.2 222191.9 949
354 995929.5 222291.1 949 355 995914.3 222279.2 949
356 995891.9 222922.9 949 357 595299.2 222995.1 949
358 995292.9 222419.9 949 359 995249.9 222499.9 949
360 995711.7 222599.9 949 361 995999.4 222547.9 944
362 995929.2 222599.9 542 363 995999.9 222919.2 941
364 995951.9 222999.9 949 365 995999.9 222259.9 995
366 995595.9 222729.9 994 367 995599.4 222991.5 999
368 995594.2 222929.9 999 369 995492.5 229159.9 995
370 995499.9 229179.2 994 371 535424.5 923199.5 534
372 995417.9 229229.9 999 373 999549.9 229249.7 992
374 995459.9 229299.5 591 375 595499.5 229299.1 999
376 995425.9 229911.5 929 377 995419.1 229992.9 927
378 995499.4 229954.2 929 380 995992.9 229925.9 925
